A,B,C,D,Class
-0.507318135280576,-0.08668480666286288,0.7504511958064572,,class_3
1.9723478677155517,1.83091988094335,0.12784040316728537,,class_3
-0.1575438213021209,0.19029530669193026,0.8793979748628286,,class_1
0.12778487299866842,-0.2565023989133588,0.4675093422520456,1.1272412069680329,class_2
-0.34825003261353077,-0.3705775787743037,0.8784503013072725,,class_2
0.2147353866004642,0.1456277013137288,1.2225413386740303,,class_2
0.3357665424891827,0.4991980964675602,0.5323091855533487,,class_2
-0.3114048280909325,-0.4931591488334706,2.1416476008704612,0.43082100300788273,class_2
0.24682657436462674,0.7517183326121676,0.6159794225754956,,class_3
-0.03441472633712337,0.25653921351230247,,,class_3
-0.7763474052764864,-0.672521705251791,,0.543154268305195,class_1
-0.1637287431178868,-0.06373377381257486,0.8714287779481898,0.21868859672901295,class_1
-0.8028834263533469,-0.5205627490793034,0.28911939868998415,0.06757906948889146,class_1
1.5631172402465594,1.2774023806483774,,,class_1
0.05166187162660523,0.4846891160282446,,1.4949413112343959,class_2
1.5091752590187133,1.7713418555882634,0.1627530651050056,,class_3
-0.5898329167885963,-0.7966029243719682,,0.7933472351999252,class_2
-0.5828407218876583,-1.089662171596285,,,class_1
0.7417740152358644,1.0505684530685722,0.14242573607056525,0.49716074405376404,class_1
0.48560635685363907,0.3472623785698805,0.6255903939673367,0.15853969107671423,class_1
-0.3598502421705478,-0.5305686182841223,,,class_2
1.162766539613155,1.1683540793719671,,0.4869724807855818,class_2
-0.4465518578149846,-0.49059590544699916,0.6653851089727862,0.4465311760299441,class_1
0.7361643453424953,0.08899597345733251,,,class_2
1.4916793821564296,1.0867368381589508,0.3997742267234366,,class_2
0.20367376975728332,0.5335007588686445,,1.2992282977860654,class_2
0.9857880528068442,0.8341678519399431,,,class_3
-0.8721903569553532,-0.7658717634579866,0.43442364354585733,,class_1
0.6975039119211196,0.4607075737096831,0.07212950771386951,,class_1
-0.17326317271768063,-0.2803062634830403,1.6017788913209154,,class_3
0.6936583760602226,1.3015055385423677,0.21999668397176517,0.17927563495631615,class_3
-0.5481502570360416,-1.0797812567572753,1.4633028912195618,0.35687105914950934,class_2
0.9313890431106324,0.3157162811869896,,,class_3
-0.39197817944038554,-0.8461589518617538,,,class_1
-0.9571349546424426,0.3459839555730696,1.9967308916917865,0.8381265678943811,class_1
-0.46377845488466635,-0.3440542492533278,,,class_3
0.8238387663072984,0.7608751677794002,,,class_1
-0.8074097892647885,-1.270568227759044,,0.15704856744534462,class_2
1.236957878857251,2.02760017210124,,,class_2
0.13798558420584817,-0.3919373780387718,,0.9827395110230576,class_1
1.1243471050765368,0.757011814964828,2.1284697324351645,,class_3
-0.903335835737771,-0.7311805300943852,0.9315730128742441,,class_3
0.05292696096897269,0.25241651404635557,,,class_1
0.40487120970452173,0.48205487292888155,,,class_3
-1.6030204405816146,-1.4751951050020882,,0.15999161357343825,class_3
-1.5203067148813212,-1.025559363194427,,0.21938250136385634,class_2
-0.14410048384277035,-0.6916996820968473,0.18323443722190613,1.535755991995992,class_2
1.3736583510173195,1.2933749181838832,1.723665720783297,1.6509279322312496,class_2
0.5735518450341714,0.1734177578959771,,1.4614442922422022,class_2
-0.5904904532798848,-0.6635843395879667,,,class_2
-0.4730160618301124,-0.18503787880686448,0.09058490690174555,1.4074818613137168,class_3
2.270795469518608,1.7257256985242493,,,class_3
1.1525074805588116,0.5593266242135398,0.9159025423560131,,class_2
-0.25407935211432797,0.19436758035586285,,,class_3
-0.3688725510109843,-0.6801075486378703,,1.3373981074427437,class_3
0.46066712939102394,-0.024285959309728163,0.17657335845371103,0.2424967912712216,class_2
-0.5078737425863546,0.33147668421964216,2.5174740375339204,0.22822833013890514,class_2
0.9637248501980837,0.6995526425964288,,,class_2
-0.16134211569566595,-0.45388529714188297,,1.2058536208882336,class_2
2.2113047121286162,1.9745322022167948,,,class_3
1.1826994568590756,0.5266168779066522,,,class_3
-2.486079722833369,-1.6645870192102792,,,class_1
-2.907883368643797,-2.755135082644722,,,class_2
-1.8587440085915985,-1.5111080762838036,,,class_3
-0.11632150264312292,-0.7311936005420836,,,class_2
0.3563179911889467,0.10796810898190248,0.23216988962625595,,class_1
-0.5382540245604335,-0.3809437764200739,0.15542932766846604,1.0127158178198286,class_1
-0.12257969247584359,0.018960844242181064,,,class_2
0.008545334684201912,0.1811011587642581,1.5733549024752425,2.093168308930595,class_2
0.6849836567754273,0.8024886824683068,1.191142953088865,,class_1
-0.5695973775480445,-0.3663744242268921,0.9274384815581808,,class_3
1.070582018746705,1.094045884283972,0.2637172043565196,,class_2
0.25065923136269663,0.31888726093854736,,,class_2
-1.4737023413863373,-1.3947635867739612,,,class_3
-0.36184127426773405,-0.21515723468819903,,,class_1
-1.6101522567693964,-1.757073203014611,0.8638280136981883,,class_3
-0.2309272300404316,0.3504703874651753,,,class_3
-0.666084847968024,-0.4697193155477925,1.1774118889776937,1.732311605409944,class_1
-1.6334618365113807,-1.7660923989624877,0.8279881767970589,0.43899315873829875,class_2
0.1986158617731936,-0.3283375381106329,0.989583934594853,,class_2
-0.9304401994135443,-0.5946413792136198,1.1712470934673194,,class_1
-1.759575182734035,-1.7895175519159694,,0.7307746911386448,class_2
